"stage2/step","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage2/mcc_pearson","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"24001","0","0","0","34335","34335","34335","0.23623241034542328","0.12052686986728797","0.3728314879293953","44335.2","44334","44336","0.606366486843896","0.45178819392717456","0.6778970875397656","44335.2","44334","44336"
"24251","0","0","0","34588","34588","34588","0.21210038496785716","0.06034684411274906","0.32846193296037735","44588.2","44587","44589","0.5324014620372081","0.3101304090903153","0.7595269077753569","44588.2","44587","44589"
"24501","0","0","0","34841","34841","34841","0.22366043577791156","0.10408327380999557","0.31518043931237616","44841.2","44840","44842","0.4821036457315303","0.24912056531731133","0.6207263143370685","44841.2","44840","44842"
"24751","0","0","0","35094","35094","35094","0.23140327360776913","0.1250172741072733","0.457185676877401","45094.2","45093","45095","0.5244507790246815","0.28008916408886936","0.6675381203369886","45094.2","45093","45095"
"25001","0","0","0","35347","35347","35347","0.24097207280395247","0.13228353889922856","0.33825603446447694","45347.2","45346","45348","0.5074281323475964","0.34082774329796234","0.6567124650668635","45347.2","45346","45348"
"25251","0","0","0","35600","35600","35600","0.21231679930212363","0.11479892079239384","0.3207226067177431","45600.2","45599","45601","0.4589935563160223","0.20078825158606423","0.6575696567998554","45600.2","45599","45601"
"25501","0","0","0","35853","35853","35853","0.19855411176222212","0.11403627735918538","0.40503878508007285","45853.2","45852","45854","0.4889914724593253","0.3498142060957879","0.6587168250737024","45853.2","45852","45854"
"25751","0","0","0","36106","36106","36106","0.21609763440252042","0.14034596087127862","0.27582193426727286","46106.2","46105","46107","0.5093158323842915","0.26726505099060893","0.7983887286552017","46106.2","46105","46107"
"26001","0","0","0","36359","36359","36359","0.234122750655032","0.13516047984915006","0.3880242019570659","46359.2","46358","46360","0.4768943034786967","0.22158500961346234","0.7293136672021397","46359.2","46358","46360"
"26251","0","0","0","36612","36612","36612","0.29075948220689746","0.19333949745139017","0.4382890554111512","46612.2","46611","46613","0.5583310432504369","0.30380658993674253","0.7997317519456215","46612.2","46611","46613"
"26501","0","0","0","36865","36865","36865","0.23835079508484203","0.10410619846179411","0.38875966960160513","46865.2","46864","46866","0.5475016685758971","0.3971572516511922","0.6820646163517587","46865.2","46864","46866"
