"stage2/step","Group: VaDE_Simple_gumbel - stage2/mcc_spearman","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_spearman","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage2/mcc_spearman","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"21251","0.49475222977524497","0.3396232343835676","0.6727655154752168","31552","31552","31552","0.7231150206324017","0.47358126056294064","0.7824347314967115","41553","41553","41553","0.7990120887481847","0.74544348228551","0.8141488741687274","41553","41553","41553"
"21501","0.4808982483831775","0.2637124293136088","0.659923840713891","31805","31805","31805","0.7260171168570018","0.48140791843518443","0.7864619387442154","41806","41806","41806","0.7990979508347238","0.747863351508339","0.8154332016891376","41806","41806","41806"
"21751","0.4395952160330632","0.22058005935488045","0.666855626192283","32058","32058","32058","0.7253089578524144","0.4785514561055169","0.787557066986332","42059","42059","42059","0.7980562902542264","0.7487537317413859","0.8138928049886172","42059","42059","42059"
"22001","0.5012698842292701","0.31132237392260603","0.6715858163371712","32311","32311","32311","0.7285634347258292","0.4849872118150493","0.792506357092719","42312","42312","42312","0.7996516553036137","0.7493165694230529","0.8158834707527794","42312","42312","42312"
"22251","0.5052545401798314","0.3124951380566814","0.667950580783048","32564","32564","32564","0.7273475849235231","0.4760520311290078","0.7883036197979654","42565","42565","42565","0.7999845339445423","0.7555219543549363","0.8164014293767957","42565","42565","42565"
"22501","0.4589131037005786","0.27681373839778495","0.6805475878913706","32817","32817","32817","0.7303931894833808","0.4903104576069011","0.7918235233113484","42818","42818","42818","0.79906353866157","0.7519941243417092","0.8146179295022545","42818","42818","42818"
"22751","0.46765337718817185","0.3165434339448233","0.6436605842374578","33070","33070","33070","0.730581288054449","0.47793849115801157","0.7971937730615729","43071","43071","43071","0.7998684910352677","0.7526509049130792","0.8158321179893893","43071","43071","43071"
"23001","0.45323202887882497","0.2979000647950681","0.677782855009878","33323","33323","33323","0.73231905700776","0.4819394428743428","0.7984658024870752","43324","43324","43324","0.7997808694872468","0.7561789753974587","0.8163469038529735","43324","43324","43324"
"23251","0.46957799328883976","0.27251715971985585","0.6763895936948404","33576","33576","33576","0.7349374673736073","0.4912513715947502","0.7996733973973177","43577","43577","43577","0.7996086184028651","0.7562873682166172","0.816393003335754","43577","43577","43577"
"23501","0.44510411644015935","0.27454382860683196","0.6770252297999758","33829","33829","33829","0.7355647088900018","0.48670223174352817","0.8027036647453842","43830","43830","43830","0.8001463582645671","0.7579461186695314","0.814930683299151","43830","43830","43830"
"23751","0.5143336711836717","0.2747785426140746","0.6582734769022854","34082","34082","34082","0.7367174873143523","0.4910398228134148","0.8002167887143802","44083","44083","44083","0.8008560246146782","0.7606043694098851","0.8144259204266872","44083","44083","44083"
"24001","0.4831910946754826","0.34065431378378724","0.6392163497276528","34335","34335","34335","0.7368318704019081","0.4783350971537366","0.804335765442302","44336","44336","44336","0.7992965446937818","0.760865790439901","0.8150132931260977","44336","44336","44336"
"24251","0.4881486791427525","0.39103024979678364","0.5983960558096632","34588","34588","34588","0.738831815065946","0.48342918909558924","0.8080007328908846","44589","44589","44589","0.801823389236664","0.7623040509814568","0.8143751333464282","44589","44589","44589"
"24501","0.5091921370770954","0.3161002637829507","0.6702609572813948","34841","34841","34841","0.7379801517280276","0.4714634811649407","0.8053145526185945","44842","44842","44842","0.8004107964253929","0.7631168549321692","0.8139612594760942","44842","44842","44842"
