"stage2/step","Group: VaDE_Simple_cauchy - stage2/mcc_spearman","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"21501","0","0","0","31805","31805","31805","0.3939082636001561","0.25862280411133015","0.5111702832278732","41806","41806","41806","0.6991510889584233","0.6303614764636464","0.757197092407743","41806","41806","41806"
"21751","0","0","0","32058","32058","32058","0.4152677095252558","0.2600606484946672","0.5436369232224937","42059","42059","42059","0.7002161116802996","0.6301727383329752","0.7586392667903291","42059","42059","42059"
"22001","0","0","0","32311","32311","32311","0.39267184090003937","0.2702276645845797","0.5273717091069673","42312","42312","42312","0.7005799460727451","0.6307011671116837","0.7581794429922075","42312","42312","42312"
"22251","0","0","0","32564","32564","32564","0.4193590769700015","0.265285586509918","0.5830432526599151","42565","42565","42565","0.7007000305995195","0.6295109461001128","0.7579409417084654","42565","42565","42565"
"22501","0","0","0","32817","32817","32817","0.4079528761969997","0.2664269003702202","0.5704905614511134","42818","42818","42818","0.7024174554981361","0.6266002589805246","0.7588509664550882","42818","42818","42818"
"22751","0","0","0","33070","33070","33070","0.4347010116401483","0.2847833159462227","0.5744916653173099","43071","43071","43071","0.7024719350267252","0.6301602939119454","0.7563201905059341","43071","43071","43071"
"23001","0","0","0","33323","33323","33323","0.4186662977186896","0.2199689028405067","0.5391001522724364","43324","43324","43324","0.7032002619665898","0.6269956020217043","0.7615544618460258","43324","43324","43324"
"23251","0","0","0","33576","33576","33576","0.44064483953601774","0.2572044013630632","0.5607873600357451","43577","43577","43577","0.7027366912723054","0.6227830666713166","0.7605883411652962","43577","43577","43577"
"23501","0","0","0","33829","33829","33829","0.4054769845935402","0.2069567241637237","0.5144179674219417","43830","43830","43830","0.7056386133891411","0.6268483974739927","0.7615035253139331","43830","43830","43830"
"23751","0","0","0","34082","34082","34082","0.4173915252364823","0.2654643508267613","0.5856624021986311","44083","44083","44083","0.7047455519627972","0.628397468084979","0.7605053954836304","44083","44083","44083"
