"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_spearman","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_spearman","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_spearman","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"15001","0.25533274253049293","0.19707346837266404","0.3331139196639086","25227","25227","25227","0.5372285219182131","0.4870792798745991","0.5878613935374672","35227.4","35226","35228","0.726464570101271","0.5775881769536442","0.8473931995790356","35227.2","35226","35228"
"15251","0.2568291676805573","0.20627560936333608","0.3570254567977266","25480","25480","25480","0.5102510738238853","0.28572604665772844","0.598007056396438","35480.4","35479","35481","0.7300320545809824","0.5825389441696047","0.8479298402128986","35480.2","35479","35481"
"15501","0.247024325330038","0.17143207776586084","0.28723566584467985","25733","25733","25733","0.5248722372633334","0.3975248609794943","0.6099601993101813","35733.4","35732","35734","0.7315962044072652","0.5806522222547804","0.8466561954085317","35733.2","35732","35734"
"15751","0.2383746318960926","0.16881509989537619","0.28386800008556096","25986","25986","25986","0.5149031266216507","0.3834634961700694","0.6173933689236433","35986.4","35985","35987","0.7323548951969799","0.5758740642003494","0.8452529309313462","35986.2","35985","35987"
"16001","0.2315027284474945","0.18099139121133825","0.26546699530556805","26239","26239","26239","0.5232084157346506","0.3899129602894552","0.6265317656185383","36239.4","36238","36240","0.7345259452005136","0.5854206403096147","0.8467889251977121","36239.2","36238","36240"
"16251","0.2215426546444899","0.17091918959146368","0.2716130229690806","26492","26492","26492","0.5184132578332752","0.3983943480863571","0.6383921018249057","36492.4","36491","36493","0.73564003127117","0.5905222296487601","0.8497763122293517","36492.2","36491","36493"
"16501","0.23429088913590043","0.17975101422035056","0.2679169429847159","26745","26745","26745","0.4992149980701364","0.31833787986614825","0.6406286994561784","36745.4","36744","36746","0.7355585875458652","0.5896311586641122","0.8498972116396507","36745.2","36744","36746"
"16751","0.22631060259783747","0.1634480916071723","0.3242751615024676","26998","26998","26998","0.5243598542196051","0.41912287990576935","0.6505293149832762","36998.4","36997","36999","0.7361608790678098","0.5924174131493366","0.8445002607042664","36998.2","36997","36999"
"17001","0.2258117112344308","0.16906346380558548","0.27340684076484706","27251","27251","27251","0.5298794583756407","0.42993752500745386","0.6568278634327346","37251.4","37250","37252","0.7385945359109681","0.5951887390675682","0.8451623005433533","37251.2","37250","37252"
"17251","0.22709572352004787","0.15518122730516926","0.2869951039069356","27504","27504","27504","0.5367585610371919","0.44198754389035494","0.6567225935483442","37504.4","37503","37505","0.7413897318597551","0.6012659852776508","0.8495775158079732","37504.2","37503","37505"
"17501","0.2240233721820258","0.178903646783578","0.27789838534525496","27757","27757","27757","0.5382656504319399","0.451812224199654","0.6636254165084704","37757.4","37756","37758","0.7423214992084636","0.607832456695841","0.8461807008150558","37757.2","37756","37758"
"17751","0.208993901320257","0.1569213195046841","0.24402051674464204","28010","28010","28010","0.5435204656312953","0.4723889543653538","0.6717989202335809","38010.4","38009","38011","0.743338094496784","0.6063257032417501","0.846891054802802","38010.2","38009","38011"
"18001","0.2003312263319723","0.14846338907572496","0.2615841923154852","28263","28263","28263","0.5429182927437844","0.481214348133852","0.6797830266697387","38263.4","38262","38264","0.7440529631273709","0.6045962879130067","0.8484193416053711","38263.2","38262","38264"
"18251","0.1977027395196549","0.15485642436721767","0.23337885840762906","28516","28516","28516","0.544632080855365","0.4843562504053652","0.6768234712560729","38516.4","38515","38517","0.7456477044227627","0.6086053612745483","0.8449895407483915","38516.2","38515","38517"
"18501","0.19915045658140323","0.14794158368859717","0.2534571611534016","28769","28769","28769","0.5496528189868691","0.49518627190412373","0.6809715985822259","38769.4","38768","38770","0.7462289239094281","0.6144391701588212","0.8488299347459767","38769.2","38768","38770"
"18751","0.19067472283668518","0.14672524973561651","0.23131946184446991","29022","29022","29022","0.5540872315297173","0.49299633054689673","0.6856545510205923","39022.4","39021","39023","0.7479828220259693","0.6164128246119123","0.8457743227356251","39022.2","39021","39023"
"19001","0.1898357106500494","0.13185045668074977","0.23586336348476317","29275","29275","29275","0.5588759889195783","0.49701497313858434","0.6800156786888749","39275.4","39274","39276","0.7505618476624997","0.6219194800690766","0.8487254647207294","39275.2","39274","39276"
"19251","0.18817912874022116","0.1345648033884746","0.2380122137061206","29528","29528","29528","0.5588822287977031","0.49734758735744994","0.6888554263945081","39528.4","39527","39529","0.749974255632423","0.6183296127880489","0.844703484795841","39528.2","39527","39529"
"19501","0.18179727877695148","0.13511135264217627","0.22888518257195187","29781","29781","29781","0.553805321891595","0.4830734769793395","0.691178344517126","39781.4","39780","39782","0.7514182684221142","0.6229447928419527","0.8517002207588906","39781.2","39780","39782"
"19751","0.19131724440436587","0.13948106331805096","0.2533902861591999","30034","30034","30034","0.5428481261145507","0.4594038761978595","0.6958202970319571","40034.4","40033","40035","0.7530960602662962","0.6306302225398015","0.8478116274775532","40034.2","40033","40035"
"20001","0.18015803171934125","0.11968715425628282","0.23250563055278106","30287","30287","30287","0.5468817232212986","0.4535844745597511","0.7008303652804657","40287.4","40286","40288","0.7549956628878525","0.6345667470741307","0.8480115974734425","40287.2","40286","40288"
"20251","0.18100019565435885","0.14633888245625343","0.23045091208694152","30540","30540","30540","0.547899369361184","0.48336742569275704","0.7071286473880602","40540.4","40539","40541","0.7560322118177909","0.6339547801331105","0.8516444539966171","40540.2","40539","40541"
"20501","0.16833261462342877","0.12306185621898087","0.2142084881252428","30793","30793","30793","0.5412205843822047","0.46189576100800667","0.7182808143837962","40793.4","40792","40794","0.757449524265136","0.6344413187688518","0.8503947480358537","40793.2","40792","40794"
"20751","0.17325135112895493","0.10885791209193083","0.23405993516142773","31046","31046","31046","0.5476863318787613","0.46443489607352034","0.7164112598998474","41046.4","41045","41047","0.7578225437144994","0.6410355043741255","0.8491768909135734","41046.2","41045","41047"
"21001","0.17709960812505965","0.12198818540174952","0.23893401483440044","31299","31299","31299","0.5449308057294304","0.4684571917569739","0.7196043837102406","41299.4","41298","41300","0.7588473388180852","0.6422974673730613","0.8476291246131508","41299.2","41298","41300"
"21251","0.16859751895594394","0.13273055864934738","0.23463500242651952","31552","31552","31552","0.5487155627799252","0.46977029939410303","0.7249938053973547","41552.4","41551","41553","0.7605339611333396","0.6462794668850842","0.8452716736768355","41552.2","41551","41553"
"21501","0.1697486598818266","0.13211820471018873","0.21149256696552038","31805","31805","31805","0.5535339899503876","0.47516586854970627","0.7323193831526883","41805.4","41804","41806","0.7617074258175625","0.6464112400102874","0.8503206573100478","41805.2","41804","41806"
"21751","0.1672745844383758","0.13262702785044606","0.21069563508428324","32058","32058","32058","0.5600153111822157","0.4729107476384513","0.7374300163869365","42058.4","42057","42059","0.7626038008079449","0.6440715266112821","0.8437549123515634","42058.2","42057","42059"
"22001","0.16994052049415936","0.12859660490940206","0.20640237267998107","32311","32311","32311","0.557265966388095","0.4823276356315806","0.7379820799205729","42311.4","42310","42312","0.7639780953010789","0.6520785101157356","0.8467222836004229","42311.2","42310","42312"
"22251","0.16074781647830091","0.11906713601065069","0.210474619619795","32564","32564","32564","0.5536303660266855","0.4827167309809582","0.744562062598996","42564.4","42563","42565","0.7658157656791921","0.6565647983652817","0.8478986380528223","42564.2","42563","42565"
"22501","0.1734737228983288","0.1226270451797457","0.23660914952655082","32817","32817","32817","0.5629618268448932","0.48728040061354994","0.7474505391565807","42817.4","42816","42818","0.7655583149474449","0.655040562192596","0.8472615570732378","42817.2","42816","42818"
