"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_pearson","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_pearson","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"13001","0.2459090743117065","0.17319054283090177","0.32278054333277517","23203","23203","23203","0.5554658703566868","0.37392713618122614","0.6763062184474004","33203.4","33202","33204","0.852458297277772","0.6965741947864944","0.9410001400406356","33203.2","33202","33204"
"13251","0.25479115462843743","0.21390753216919212","0.29549845547486703","23456","23456","23456","0.5664391031214409","0.383682328983065","0.6862202184341","33456.4","33455","33457","0.8551055592405866","0.6936677920251066","0.9407134177959318","33456.2","33455","33457"
"13501","0.2640820905262019","0.224565078819096","0.3142377540150027","23709","23709","23709","0.571937385466158","0.3804080298494104","0.6880791671644018","33709.4","33708","33710","0.8564355476255103","0.6936889622257377","0.9415554890945993","33709.2","33708","33710"
"13751","0.2506101268749346","0.1891343041178208","0.31028777516636163","23962","23962","23962","0.573664068247862","0.39662209341706334","0.6980408590897984","33962.4","33961","33963","0.8574878490262228","0.7029890811049515","0.9428917485694326","33962.2","33961","33963"
"14001","0.2533027689990844","0.21361216054612991","0.3111612950148003","24215","24215","24215","0.5740756026024274","0.4068006511794381","0.6999334761951219","34215.4","34214","34216","0.8601525510651602","0.6957212841406409","0.9425653887080709","34215.2","34214","34216"
"14251","0.25650736415607683","0.20132873744256904","0.3182534025633149","24468","24468","24468","0.579334931065904","0.4209064905430818","0.7146406172400797","34468.4","34467","34469","0.862926939912416","0.6989367644029987","0.943412377700817","34468.2","34467","34469"
"14501","0.23916732061716822","0.19162010369927832","0.28587970877027236","24721","24721","24721","0.5733625296254735","0.4258669156542395","0.6404487937730123","34721.4","34720","34722","0.8651758718914622","0.701090786311318","0.9441782523980379","34721.2","34720","34722"
"14751","0.24582047590110861","0.17590469130248304","0.29274995789597613","24974","24974","24974","0.5789196674870967","0.4407640008245183","0.6463879275231257","34974.4","34973","34975","0.866756502935648","0.6997147654122404","0.947266485057184","34974.2","34973","34975"
"15001","0.24830954587975534","0.17329900451807317","0.31357182336047285","25227","25227","25227","0.5850112729257683","0.4567380963667308","0.6456905309916259","35227.4","35226","35228","0.8688107368240567","0.7015801048244181","0.9452088806256393","35227.2","35226","35228"
"15251","0.22745363080315642","0.17518228821623763","0.2884271399189108","25480","25480","25480","0.5942963797490377","0.4771834228319591","0.6588304270430905","35480.4","35479","35481","0.8709047911843157","0.7033693518724891","0.9455191426822882","35480.2","35479","35481"
"15501","0.22636165420849577","0.1719662660069688","0.2803855797773724","25733","25733","25733","0.5985814460211552","0.5062568260883149","0.6634603521677956","35733.4","35732","35734","0.872687857304515","0.7020282015446695","0.9478449229308907","35733.2","35732","35734"
"15751","0.22931928631094314","0.16618708588494083","0.30380373791284504","25986","25986","25986","0.6054783849445187","0.5353349507703562","0.6611642063610361","35986.4","35985","35987","0.873944086394207","0.7034172308889785","0.9461436764486562","35986.2","35985","35987"
"16001","0.21337173623446998","0.14787231786942448","0.27369518234227025","26239","26239","26239","0.6127998137184663","0.5580951958859657","0.6708118621183061","36239.4","36238","36240","0.8754534799881586","0.7059687607684988","0.9480932037722539","36239.2","36238","36240"
"16251","0.22051557829727253","0.1440543635521703","0.2894872354929978","26492","26492","26492","0.621080289917044","0.5738345183600254","0.6756332754598542","36492.4","36491","36493","0.8783609565385779","0.711623278975505","0.9467457003163535","36492.2","36491","36493"
"16501","0.20868768766447582","0.15629514416767726","0.27707527338438825","26745","26745","26745","0.6224400004167263","0.5748441271120115","0.6721496074866699","36745.4","36744","36746","0.8787192508296349","0.7073179821481965","0.9478227254743892","36745.2","36744","36746"
"16751","0.21174299556037574","0.16210598920467656","0.2723332753690374","26998","26998","26998","0.629087538225449","0.5830378899632443","0.6787021269693395","36998.4","36997","36999","0.8799423023091464","0.7068344068867445","0.9445184798952934","36998.2","36997","36999"
"17001","0.20525508417002242","0.1275332671761274","0.2822128876181149","27251","27251","27251","0.6361618494115077","0.5855625850186027","0.7048421218980475","37251.4","37250","37252","0.8811109916265654","0.7088339316635401","0.9476799329958169","37251.2","37250","37252"
"17251","0.20942513804986668","0.1438631622263959","0.2863765406665978","27504","27504","27504","0.6410297044262506","0.5843119214560026","0.7111603797318125","37504.4","37503","37505","0.8826050719643614","0.7059481631030451","0.9474956745429219","37504.2","37503","37505"
"17501","0.20294244037256623","0.1543069535809257","0.2735597148681139","27757","27757","27757","0.6456196752427086","0.5883256242516505","0.7167631810176105","37757.4","37756","37758","0.8841885372503606","0.7142778677616388","0.9478478355043813","37757.2","37756","37758"
"17751","0.20495593230998715","0.13407913055943466","0.30378936489930675","28010","28010","28010","0.6531914567984141","0.59930709407231","0.7292898291193095","38010.4","38009","38011","0.8857667121224487","0.7139060718746075","0.9470999323910869","38010.2","38009","38011"
"18001","0.18958935228449456","0.12801129664025804","0.27785208472643097","28263","28263","28263","0.6519831187320904","0.5971983124921054","0.7514407752217545","38263.4","38262","38264","0.8865607338781178","0.7122992298307335","0.9480874486678843","38263.2","38262","38264"
"18251","0.1810176592034879","0.11583419951587573","0.2713126329503234","28516","28516","28516","0.6424812807372808","0.5872204566171317","0.7019623612068466","38516.4","38515","38517","0.8873497219044918","0.7129672732031681","0.9493611173445856","38516.2","38515","38517"
"18501","0.1823375498293313","0.13878145851852072","0.281026357373912","28769","28769","28769","0.6501722052090265","0.6019739784347434","0.7121053400427163","38769.4","38768","38770","0.8904946859830669","0.7211843471259575","0.9508227093049098","38769.2","38768","38770"
"18751","0.17733184450755607","0.11117836337784207","0.3026085124029337","29022","29022","29022","0.6508935851243832","0.5872776645439346","0.7078243703802038","39022.4","39021","39023","0.8910568955166008","0.7205780395489051","0.9500468945439675","39022.2","39021","39023"
"19001","0.17850154457130923","0.12610399410702558","0.2772936795520326","29275","29275","29275","0.6571958482414406","0.5868779036308305","0.7173641983237194","39275.4","39274","39276","0.8929944096181602","0.7192473768839609","0.949928328263422","39275.2","39274","39276"
"19251","0.17950064566101445","0.13009376467155057","0.28561349171425554","29528","29528","29528","0.6606683916799975","0.5828882525388647","0.7205286129908126","39528.4","39527","39529","0.8931762447359478","0.7180706955679287","0.949517220723599","39528.2","39527","39529"
"19501","0.16758084540012563","0.09576528919286703","0.2587608296377792","29781","29781","29781","0.6672611041281321","0.5860302877127939","0.7270898311869523","39781.4","39780","39782","0.8941596504172512","0.7206232986092199","0.9513715475530768","39781.2","39780","39782"
"19751","0.16604958853393073","0.1136067482016259","0.2577555615703506","30034","30034","30034","0.6707978519007189","0.5834470439125728","0.7374154361345762","40034.4","40033","40035","0.8957474886277778","0.722527639677943","0.94753964977659","40034.2","40033","40035"
"20001","0.16632209559986766","0.10963288554199738","0.2823368864857667","30287","30287","30287","0.6742399980002062","0.5768232686289738","0.7401832668517929","40287.4","40286","40288","0.8956603672264538","0.7226540700121626","0.9489136650451183","40287.2","40286","40288"
"20251","0.1693356533765346","0.0986010734558637","0.2727806372340643","30540","30540","30540","0.6784770690568884","0.5823140132991533","0.7521230780244358","40540.4","40539","40541","0.8982136415043046","0.7342301852436245","0.9481672444940195","40540.2","40539","40541"
"20501","0.16615552925758686","0.11607155980424677","0.27210752447422093","30793","30793","30793","0.6837293839031031","0.5812316918226198","0.7536683373914135","40793.4","40792","40794","0.8988574332924685","0.7282416169150672","0.94880635287168","40793.2","40792","40794"
"20751","0.16750484746219146","0.10906135844450764","0.2678171978325155","31046","31046","31046","0.6904893037362093","0.5838320366879883","0.75929997021894","41046.4","41045","41047","0.8995741722619905","0.7232608463766086","0.950013682782983","41046.2","41045","41047"
"21001","0.14604246852128822","0.08692615039607036","0.23888852717788978","31299","31299","31299","0.6927958577134798","0.5733396273712381","0.7652073450288622","41299.4","41298","41300","0.900979103024002","0.7251034445183699","0.9497157995976456","41299.2","41298","41300"
"21251","0.1489173328450901","0.0907096569768011","0.23186333648435023","31552","31552","31552","0.6995488582814413","0.5775338101465228","0.7786757881743687","41552.4","41551","41553","0.9019578144036234","0.7278931524451573","0.9507901283362402","41552.2","41551","41553"
"21501","0.15513920145694246","0.10257956360694957","0.2741020907846891","31805","31805","31805","0.701420497490401","0.5756548101231378","0.7789830895925115","41805.4","41804","41806","0.9018212420981685","0.7257242321639562","0.9505986150945034","41805.2","41804","41806"
"21751","0.14622641927192764","0.09048474230087836","0.24225851825033695","32058","32058","32058","0.7056379848247799","0.5707491813371215","0.7841116838552465","42058.4","42057","42059","0.9023329740626813","0.7252860635555347","0.9511918929120402","42058.2","42057","42059"
"22001","0.15701448679082258","0.10247747765500097","0.2599461958479585","32311","32311","32311","0.6944487289493474","0.5824000144903698","0.7889294518840289","42311.4","42310","42312","0.903277701461956","0.7219159741766046","0.9519420317896159","42311.2","42310","42312"
"22251","0.15719312245728567","0.10335453975136573","0.26338952937023546","32564","32564","32564","0.6982134955163218","0.5759509970403469","0.7903997340965506","42564.4","42563","42565","0.9042996917116797","0.7243934319362622","0.9532693327919196","42564.2","42563","42565"
"22501","0.15816184859577373","0.10130964493226043","0.2790827601496663","32817","32817","32817","0.7012110930330542","0.5790875144548073","0.7979855592425362","42817.4","42816","42818","0.9055713329351617","0.7283175260519752","0.9540634747090424","42817.2","42816","42818"
"22751","0.14051894367896292","0.0900625348065492","0.266551068562631","33070","33070","33070","0.7044923887327955","0.5815910469589675","0.8005280926565568","43070.4","43069","43071","0.9060668425817591","0.7315177470091897","0.955790285949367","43070.2","43069","43071"
"23001","0.1455379022598305","0.08844540975784189","0.26884560877777236","33323","33323","33323","0.7075515360811047","0.5886623855340426","0.802985252876594","43323.4","43322","43324","0.9067970030568894","0.7287539534475351","0.9562330281350194","43323.2","43322","43324"
"23251","0.13702423196564834","0.0806515636027933","0.24588518924227745","33576","33576","33576","0.7116738166635129","0.5979542765803652","0.801742216160519","43576.4","43575","43577","0.9081844786378198","0.7339423444405332","0.9560281205959742","43576.2","43575","43577"
